Name,Team,Role,Batting Style,Bowling Style
Alex Hartley,England,Bowler,Right hand Bat,Slow Left arm Orthodox
Alex Horton,England,Wicketkeeper Batter,Right hand Bat,
Alex Lees,England,Opening Batter,Left hand Bat,Legbreak
Alex Wakely,England,Middle order Batter,Right hand Bat,Right arm Medium fast
Alf Valentine,West Indies,Bowler,Right hand Bat,Slow Left arm Orthodox
Alfonso Thomas,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Ali Murtaza,India,Bowler,Left hand Bat,Slow Left arm Orthodox
Ali Shah,Zimbabwe,Allrounder,Left hand Bat,Right arm Medium
Ali Zaryab,Pakistan,Batter,Left hand Bat,Right arm Offbreak
Alice Capsey,England,Batting Allrounder,Right hand Bat,Right arm Offbreak
Alice Davidson-Richards,England,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Alick Athanaze,West Indies,Batting Allrounder,Left hand Bat,Right arm Offbreak
Alisa Scantlebury,West Indies,Middle order Batter,Right hand Bat,
Alistair Campbell,Zimbabwe,Opening Batter,Left hand Bat,Right arm Offbreak
Alistair Frost,Zimbabwe,Bowler,Right hand Bat,Right arm Medium
Alister McDermott,Australia,Bowler,Right hand Bat,Right arm Fast medium
Aliya Riaz,Pakistan,Allrounder,Right hand Bat,Right arm Medium
Allan Border,Australia,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
Allan Donald,South Africa,Bowler,Right hand Bat,Right arm Fast
Allan Lamb,England,Middle order Batter,Right hand Bat,Right arm Medium
Alok Kapali,Bangladesh,Allrounder,Right hand Bat,Legbreak
Alvin Kallicharran,West Indies,Top order Batter,Left hand Bat,Right arm Offbreak
Alviro Petersen,South Africa,Batter,Right hand Bat,Right arm Offbreak
Alyssa Healy,Australia,Wicketkeeper Batter,Right hand Bat,
Alzarri Joseph,West Indies,Bowler,Right hand Bat,Right arm Fast
Ama Kanchana,Sri Lanka,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Amad Butt,Pakistan,Bowling Allrounder,Right hand Bat,Right arm Fast
Amal Silva,Sri Lanka,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Amanda-Jade Wellington,Australia,Bowler,Right hand Bat,Legbreak
Amanjot Kaur,India,Batting Allrounder,Right hand Bat,Right arm Medium
Amanpreet Singh,India,Bowler,Right hand Bat,Right arm Medium fast
Amar Virdi,England,Bowler,Right hand Bat,Right arm Offbreak
Ambati Rayudu,India,Middle order Batter,Right hand Bat,Right arm Offbreak
Amelia Kerr,New Zealand,Allrounder,Right hand Bat,Legbreak
Amila Aponso,Sri Lanka,Bowler,Right hand Bat,Slow Left arm Orthodox
Aminul Islam,Bangladesh,Middle order Batter,Right hand Bat,Right arm Offbreak
Aminul Islam,Bangladesh,Allrounder,Right hand Bat,Legbreak Googly
Amir Hamza,Afghanistan,Bowling Allrounder,Right hand Bat,Slow Left arm Orthodox
Amit Jaggernauth,West Indies,Bowler,Left hand Bat,Right arm Offbreak
Amit Mishra,India,Bowler,Right hand Bat,Legbreak
Ammad Alam,Pakistan,Batter,Right hand Bat,
Amy Hunter,Ireland,Wicketkeeper Batter,Right hand Bat,
Amy Jones,England,Wicketkeeper Batter,Right hand Bat,
Amy Satterthwaite,New Zealand,Top order Batter,Left hand Bat,Right arm Offbreak
Anagha Deshpande,India,Opening Batter,Right hand Bat,
Anam Amin,Pakistan,Bowler,Left hand Bat,Slow Left arm Orthodox
Anamul Haque,Bangladesh,Wicketkeeper Batter,Right hand Bat,
Anand Rajan,India,Bowler,Right hand Bat,Right arm Medium
Anaru Kitchen,New Zealand,Middle order Batter,Right hand Bat,Slow Left arm Orthodox
Anderson Phillip,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Andile Mokgakane,South Africa,Top order Batter,Right hand Bat,Right arm Medium
Andile Phehlukwayo,South Africa,Bowling Allrounder,Left hand Bat,Right arm Medium fast
Andile Simelane,South Africa,Allrounder,Right hand Bat,Right arm Fast
Andre Adams,New Zealand,Allrounder,Right hand Bat,Right arm Fast medium
Andre Botha,Ireland,Allrounder,Left hand Bat,Right arm Medium
Andre Fletcher,West Indies,Top order Batter,Right hand Bat,"Right arm Medium fast, Legbreak"
Andre McCarthy,West Indies,Middle order Batter,Right hand Bat,Right arm Offbreak
Andre Nel,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Andre Russell,West Indies,Allrounder,Right hand Bat,Right arm Fast
Andrew Britton,Ireland,Bowler,Right hand Bat,Right arm Fast
Andrew Ellis,New Zealand,Allrounder,Right hand Bat,Right arm Fast medium
Andrew Flintoff,England,Allrounder,Right hand Bat,Right arm Fast medium
Andrew Gale,England,Top order Batter,Left hand Bat,Legbreak
Andrew Hall,South Africa,Allrounder,Right hand Bat,Right arm Fast medium
Andrew Hilditch,Australia,Opening Batter,Right hand Bat,Right arm Medium
Andrew Hudson,South Africa,Opening Batter,Right hand Bat,Right arm Medium
Andrew James,Australia,Bowler,Right hand Bat,Right arm Fast medium
Andrew Jones,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Andrew Mathieson,New Zealand,Bowler,Right hand Bat,Right arm Medium
Andrew McDonald,Australia,Allrounder,Right hand Bat,Right arm Fast medium
Andrew Poynter,Ireland,Batter,Right hand Bat,Right arm Offbreak
Andrew Salter,England,Bowler,Right hand Bat,Right arm Offbreak
Andrew Symonds,Australia,Allrounder,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Andrew Tye,Australia,Bowler,Right hand Bat,Right arm Medium fast
Andrew White,Ireland,Allrounder,Right hand Bat,Right arm Offbreak
Andrie Steyn,South Africa,Opening Batter,Right hand Bat,Right arm Medium fast
Andy Balbirnie,Ireland,Batter,Right hand Bat,Right arm Offbreak
Andy Bichel,Australia,Bowler,Right hand Bat,Right arm Fast medium
Andy Blignaut,Zimbabwe,Allrounder,Left hand Bat,Right arm Medium fast
Andy Caddick,England,Bowler,Right hand Bat,Right arm Fast medium
Andy Flower,Zimbabwe,Top order Batter,Left hand Bat,Right arm Offbreak
Andy McBrine,Ireland,Bowler,Left hand Bat,Right arm Offbreak
Andy McKay,New Zealand,Bowler,Right hand Bat,Left arm Fast medium
Andy Roberts,West Indies,Bowler,Right hand Bat,Right arm Fast
Andy Waller,Zimbabwe,Middle order Batter,Right hand Bat,Right arm Medium
Andy Whittall,Zimbabwe,Bowler,Right hand Bat,Right arm Offbreak
Aneeshwar Gautam,India,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Anesu Mushangwe,Zimbabwe,Bowler,Right hand Bat,Legbreak
Aneurin Donald,England,Batter,Right hand Bat,Right arm Offbreak
Angelo Jayasinghe,Sri Lanka,Batter,Right hand Bat,Legbreak
Angelo Mathews,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium
Angelo Perera,Sri Lanka,Allrounder,Right hand Bat,Slow Left arm Orthodox
Angus Fraser,England,Bowler,Right hand Bat,Right arm Fast medium
Anil Kumble,India,Bowler,Right hand Bat,Legbreak Googly
Anisa Mohammed,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Anisur Rahman,Bangladesh,Bowler,,Left arm Medium fast
Anjali Pendharker,India,Opening Batter,Right hand Bat,Right arm Offbreak
Anjali Sarvani,India,Bowler,Left hand Bat,Left arm Medium
Ankit Rawat,India,Batting Allrounder,Right hand Bat,
Ankush Bains,India,Wicketkeeper Batter,Right hand Bat,
Anmolpreet Singh,India,Batter,Right hand Bat,Right arm Offbreak
Anna Peterson,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Annabel Sutherland,Australia,Allrounder,Right hand Bat,Right arm Medium fast
Anneke Bosch,South Africa,Batting Allrounder,Right hand Bat,Right arm Medium
Annerie Dercksen,South Africa,Allrounder,Right hand Bat,Right arm Medium
Anrich Nortje,South Africa,Bowler,Right hand Bat,Right arm Fast
Anshu Jain,India,Opening Batter,Right hand Bat,Right arm Medium
Anshul Kamboj,India,Allrounder,Right hand Bat,Right arm Medium
Anshuman Gaekwad,India,Opening Batter,Right hand Bat,Right arm Offbreak
Ant Botha,South Africa,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Anthony Ireland,Zimbabwe,Bowler,Right hand Bat,Right arm Medium
Anthony Martin,West Indies,Bowler,Right hand Bat,Legbreak
Anthony McGrath,England,Allrounder,Right hand Bat,Right arm Medium
Anton Devcich,New Zealand,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Anuj Rawat,India,Wicketkeeper Batter,Left hand Bat,
Anuja Patil,India,Bowler,Right hand Bat,Right arm Offbreak
Anuk Fernando,Sri Lanka,Allrounder,Left hand Bat,Left arm Medium fast
Anukul Roy,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Anurag Verma,New Zealand,Bowler,Right hand Bat,Right arm Medium
Anushka Sanjeewani,Sri Lanka,Wicketkeeper Batter,Right hand Bat,
Anwar Ali,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Anwar Hossain Monir,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Anya Shrubsole,England,Bowler,Right hand Bat,Right arm Medium
Aphiwe Mnyanda,South Africa,Bowler,Right hand Bat,Left arm Fast
Arafat Sunny,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Aravinda de Silva,Sri Lanka,Batting Allrounder,Right hand Bat,Right arm Offbreak
Archie Lenham,England,Bowler,Right hand Bat,Legbreak Googly
Ariful Haque,Bangladesh,Allrounder,Right hand Bat,Right arm Medium fast
Arindam Ghosh,India,Batter,Right hand Bat,Right arm Medium
Arish Ali Khan,Pakistan,Bowler,Right hand Bat,Slow Left arm Orthodox
Arjun Murthy,India,Top order Batter,Right hand Bat,Right arm Offbreak
Arjun Nair,Australia,Bowler,Right hand Bat,Right arm Offbreak
Arjun Tendulkar,India,Bowler,Left hand Bat,Left arm Medium fast
Arjun Yadav,India,Batter,Right hand Bat,Right arm Offbreak
Arjuna Ranatunga,Sri Lanka,Batter,Left hand Bat,Right arm Medium
Arlene Kelly,Ireland,Allrounder,Right hand Bat,Right arm Medium
Armaan Jaffer,India,Middle order Batter,Right hand Bat,Right arm Offbreak
Arshad Ayub,India,Bowler,Right hand Bat,Right arm Offbreak
Arshad Iqbal,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Arshad Khan,Pakistan,Bowler,Right hand Bat,Right arm Offbreak
Arshdeep Singh,India,Bowler,Left hand Bat,Left arm Medium fast
Arun Lal,India,Opening Batter,Right hand Bat,Right arm Medium
Arundhati Reddy,India,Bowler,Right hand Bat,Right arm Medium fast
Aryan Juyal,India,Wicketkeeper Batter,Right hand Bat,
Asad Ali,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Asad Shafiq,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Asakhe Tsaka,South Africa,Bowler,Left hand Bat,Slow Left arm Orthodox
Asanka Gurusinha,Sri Lanka,Opening Batter,Left hand Bat,Right arm Medium
Asela Gunaratne,Sri Lanka,Batter,Right hand Bat,Right arm Medium fast
Asghar Afghan,Afghanistan,Middle order Batter,Right hand Bat,Right arm Medium fast
Ashan Priyanjan,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Ashantha de Mel,Sri Lanka,Bowler,Right hand Bat,Right arm Medium fast
Ashar Zaidi,Pakistan,Allrounder,Left hand Bat,Slow Left arm Orthodox
Ashen Bandara,Sri Lanka,Middle order Batter,Right hand Bat,Legbreak
Ashian Daniel,Sri Lanka,Bowler,Right hand Bat,Right arm Offbreak
Ashiqur Rahman Shibli,Bangladesh,Wicketkeeper Batter,Right hand Bat,
Ashiqur Zaman,Bangladesh,Bowler,Right hand Bat,Right arm Medium
Ashir Qureshi,Pakistan,Bowler,Right hand Bat,Legbreak Googly
Ashish Nehra,India,Bowler,Right hand Bat,Left arm Medium fast
Ashleigh Gardner,Australia,Allrounder,Right hand Bat,Right arm Offbreak
Ashley Giles,England,Bowler,Right hand Bat,Slow Left arm Orthodox
Ashley Mallett,Australia,Bowler,Right hand Bat,Right arm Offbreak
Ashley Noffke,Australia,Allrounder,Right hand Bat,Right arm Fast medium
Ashley Nurse,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Ashmead Nedd,West Indies,Bowler,Right hand Bat,Slow Left arm Orthodox
Ashok Dinda,India,Bowler,Right hand Bat,Right arm Medium fast
Ashok Malhotra,India,Middle order Batter,Right hand Bat,Right arm Medium
Ashok Menaria,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Ashton Agar,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Ashton Turner,Australia,Middle order Batter,Right hand Bat,Right arm Offbreak
Ashwell Prince,South Africa,Top order Batter,Left hand Bat,Right arm Offbreak
Asif Ali,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Asif Iqbal,Pakistan,Allrounder,Right hand Bat,Right arm Medium
Asif Mujtaba,Pakistan,Allrounder,Left hand Bat,Slow Left arm Orthodox
Asitha Fernando,Sri Lanka,Bowler,Right hand Bat,Right arm Medium fast
Asoka de Silva,Sri Lanka,Bowler,Left hand Bat,Legbreak Googly
Assad Fudadin,West Indies,Top order Batter,Left hand Bat,Right arm Medium fast
Ateeq Javid,England,Opening Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Atharva Taide,India,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox
Athula Samarasekera,Sri Lanka,Middle order Batter,Right hand Bat,Right arm Medium
Atit Sheth,India,Allrounder,Right hand Bat,Right arm Medium
Aubrey Swanepoel,South Africa,Batting Allrounder,Right hand Bat,Right arm Offbreak
Austin Richards,West Indies,Batter,Left hand Bat,Right arm Medium
Austin Waugh,Australia,Allrounder,Right hand Bat,Right arm Medium
Ava Canning,Ireland,Bowler,Right hand Bat,Right arm Medium
Avesh Khan,India,Bowler,Right hand Bat,Right arm Fast medium
Avinash Yadav,India,Bowler,Left hand Bat,Slow Left arm Orthodox
Avishka Fernando,Sri Lanka,Opening Batter,Right hand Bat,Right arm Medium fast
Avishka Gunawardene,Sri Lanka,Opening Batter,Left hand Bat,
Avishka Perera,Sri Lanka,Top order Batter,Right hand Bat,
Axar Patel,India,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Ayabonga Khaka,South Africa,Bowler,Right hand Bat,Right arm Medium
Ayana Siriwardhana,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Ayasha Rahman,Bangladesh,Opening Batter,Right hand Bat,
Ayush Badoni,India,Batter,Right hand Bat,Right arm Offbreak
Azeem Rafiq,England,Bowler,Right hand Bat,Right arm Offbreak
Azmatullah Omarzai,Afghanistan,Allrounder,Right hand Bat,Right arm Medium fast
Baba Aparajith,India,Batting Allrounder,Right hand Bat,Right arm Offbreak
Babar Azam,Pakistan,Batter,Right hand Bat,Right arm Offbreak
Bahir Shah,Afghanistan,Top order Batter,Right hand Bat,Right arm Offbreak
Balty Watt,West Indies,Allrounder,Right hand Bat,Right arm Medium
Balwinder Sandhu,India,Bowler,Right hand Bat,Right arm Medium fast
Bamanye Xenxe,South Africa,Bowler,Right hand Bat,Right arm Fast
Bapu Nadkarni,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Baron Constantine,West Indies,Allrounder,Right hand Bat,"Right arm Fast, Right arm Medium"
Barry Knight,England,Allrounder,Right hand Bat,Right arm Fast medium
Barry McCarthy,Ireland,Bowler,Right hand Bat,Right arm Fast medium
Basil Butcher,West Indies,Middle order Batter,Right hand Bat,Legbreak
Basil D'Oliveira,England,Allrounder,Right hand Bat,Right arm Medium
Basit Ali,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Baxter Holt,Australia,Wicketkeeper,Right hand Bat,
Beau Casson,Australia,Bowler,Right hand Bat,Left arm Wrist spin
Belinda Vakarewa,Australia,Bowler,Right hand Bat,Right arm Fast medium
Ben Charlesworth,England,Middle order Batter,Left hand Bat,Right arm Medium fast
Ben Cutting,Australia,Allrounder,Right hand Bat,Right arm Fast medium
Ben Duckett,England,Top order Batter,Left hand Bat,Right arm Offbreak
Ben Dunk,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Ben Dwarshuis,Australia,Bowler,Left hand Bat,Left arm Fast medium
Ben Foakes,England,Wicketkeeper Batter,Right hand Bat,
Ben Green,England,Allrounder,Right hand Bat,Right arm Fast medium
Ben Harmison,England,Batting Allrounder,Left hand Bat,Right arm Medium fast
Ben Hilfenhaus,Australia,Bowler,Right hand Bat,Right arm Fast medium
Ben Laughlin,Australia,Bowler,Right hand Bat,Right arm Fast medium
Ben Lister,New Zealand,Bowler,Right hand Bat,Left arm Medium
Ben Lockrose,New Zealand,Bowler,Right hand Bat,Slow Left arm Orthodox
Ben McDermott,Australia,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Ben Rohrer,Australia,Middle order Batter,Left hand Bat,
Ben Sanderson,England,Bowler,Right hand Bat,Right arm Medium fast
Ben Sears,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Ben Smith,England,Middle order Batter,Right hand Bat,Right arm Medium
Ben Wheeler,New Zealand,Bowler,Right hand Bat,Left arm Medium fast
Ben White,Ireland,Bowler,Right hand Bat,Legbreak
Ben Wright,England,Middle order Batter,Right hand Bat,Right arm Medium fast
Bernadine Bezuidenhout,New Zealand,Top order Batter,Right hand Bat,
Bernard Julien,West Indies,Allrounder,Right hand Bat,Left arm Medium fast
Beth Langston,England,Bowler,Right hand Bat,Right arm Medium
Beth Mooney,Australia,Wicketkeeper Batter,Left hand Bat,
Beuran Hendricks,South Africa,Bowler,Left hand Bat,Left arm Fast medium
Bevan Congdon,New Zealand,Allrounder,Right hand Bat,Right arm Medium
Bhagwath Chandrasekhar,India,Bowler,Right hand Bat,Legbreak
Bhanuka Rajapaksa,Sri Lanka,Top order Batter,Left hand Bat,Right arm Medium
Bhuvneshwar Kumar,India,Bowler,Right hand Bat,Right arm Medium
Bilal Ahmad,Afghanistan,Batter,Right hand Bat,Right arm Medium fast
Bilal Asif,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Bilal Shafayat,England,Allrounder,Right hand Bat,Right arm Medium fast
Bilawal Bhatti,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Bill Athey,England,Top order Batter,Right hand Bat,Right arm Offbreak
Bill Lawry,Australia,Opening Batter,Left hand Bat,Left arm Medium
Billy Godleman,England,Opening Batter,Left hand Bat,Legbreak
Billy Stanlake,Australia,Bowler,Left hand Bat,Right arm Fast
Binura Fernando,Sri Lanka,Bowler,Right hand Bat,Left arm Medium fast
Bishan Bedi,India,Bowler,Right hand Bat,Slow Left arm Orthodox
Bismah Maroof,Pakistan,Allrounder,Left hand Bat,Legbreak
BJ Watling,New Zealand,Wicketkeeper Batter,Right hand Bat,
